strand,chapter_number,chapter_name
History,1,The Rise of Nationalism in Europe
History,2,Nationalism in India
History,3,The Making of a Global World
History,4,The Age of Industrialisation
History,5,Print Culture and the Modern World
Geography,1,Resources and Development
Geography,2,Forest and Wildlife Resources
Geography,3,Water Resources
Geography,4,Agriculture
Geography,5,Minerals and Energy Resources
Geography,6,Manufacturing Industries
Geography,7,Lifelines of National Economy
Political Science,1,Power-sharing
Political Science,2,Federalism
Political Science,3,"Gender, Religion and Caste"
Political Science,4,Political Parties
Political Science,5,Outcomes of Democracy
Economics,1,Development
Economics,2,Sectors of the Indian Economy
Economics,3,Money and Credit
Economics,4,Globalisation and the Indian Economy
Economics,5,Consumer Rights
